"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Andover","0901301080","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2008-2012","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2008-2012","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2008-2012","Two or More Races","Number","Per Capita Income",-9999
"Andover","0901301080","2008-2012","Two or More Races","Number","Margins of Error",-9999
"Andover","0901301080","2008-2012","White Alone","Number","Per Capita Income",37151
"Andover","0901301080","2008-2012","White Alone","Number","Margins of Error",3114
"Andover","0901301080","2008-2012","White Alone Not Hispanic or Latino","Number","Per Capita Income",37151
"Andover","0901301080","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",3114
"Andover","0901301080","2009-2013","All","Number","Per Capita Income",38340
"Andover","0901301080","2009-2013","All","Number","Margins of Error",3989
"Andover","0901301080","2009-2013","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2009-2013","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2009-2013","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2009-2013","Black or African American Alone","Number","Per Capita Income",12106
"Andover","0901301080","2009-2013","Black or African American Alone","Number","Margins of Error",9246
"Andover","0901301080","2009-2013","Hispanic or Latino","Number","Per Capita Income",-9999
"Andover","0901301080","2009-2013","Hispanic or Latino","Number","Margins of Error",-9999
"Andover","0901301080","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2009-2013","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2009-2013","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2009-2013","Two or More Races","Number","Per Capita Income",68417
"Andover","0901301080","2009-2013","Two or More Races","Number","Margins of Error",44808
"Andover","0901301080","2009-2013","White Alone","Number","Per Capita Income",36926
"Andover","0901301080","2009-2013","White Alone","Number","Margins of Error",3312
"Andover","0901301080","2009-2013","White Alone Not Hispanic or Latino","Number","Per Capita Income",36926
"Andover","0901301080","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",3312
"Andover","0901301080","2010-2014","All","Number","Per Capita Income",39872
"Andover","0901301080","2010-2014","All","Number","Margins of Error",3762
"Andover","0901301080","2010-2014","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2010-2014","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2010-2014","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2010-2014","Black or African American Alone","Number","Per Capita Income",5369
"Andover","0901301080","2010-2014","Black or African American Alone","Number","Margins of Error",5809
"Andover","0901301080","2010-2014","Hispanic or Latino","Number","Per Capita Income",-9999
"Andover","0901301080","2010-2014","Hispanic or Latino","Number","Margins of Error",-9999
"Andover","0901301080","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2010-2014","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2010-2014","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2010-2014","Two or More Races","Number","Per Capita Income",80012
"Andover","0901301080","2010-2014","Two or More Races","Number","Margins of Error",44308
"Andover","0901301080","2010-2014","White Alone","Number","Per Capita Income",38528
"Andover","0901301080","2010-2014","White Alone","Number","Margins of Error",3216
"Andover","0901301080","2010-2014","White Alone Not Hispanic or Latino","Number","Per Capita Income",38347
"Andover","0901301080","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",3237
"Andover","0901301080","2011-2015","All","Number","Per Capita Income",40182
"Andover","0901301080","2011-2015","All","Number","Margins of Error",3806
"Andover","0901301080","2011-2015","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2011-2015","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2011-2015","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2011-2015","Black or African American Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2011-2015","Black or African American Alone","Number","Margins of Error",-9999
"Andover","0901301080","2011-2015","Hispanic or Latino","Number","Per Capita Income",30134
"Andover","0901301080","2011-2015","Hispanic or Latino","Number","Margins of Error",10787
"Andover","0901301080","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2011-2015","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2011-2015","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2011-2015","Two or More Races","Number","Per Capita Income",74116
"Andover","0901301080","2011-2015","Two or More Races","Number","Margins of Error",42032
"Andover","0901301080","2011-2015","White Alone","Number","Per Capita Income",38688
"Andover","0901301080","2011-2015","White Alone","Number","Margins of Error",3250
"Andover","0901301080","2011-2015","White Alone Not Hispanic or Latino","Number","Per Capita Income",38752
"Andover","0901301080","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",3319
"Andover","0901301080","2012-2016","All","Number","Per Capita Income",41514
"Andover","0901301080","2012-2016","All","Number","Margins of Error",3384
"Andover","0901301080","2012-2016","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2012-2016","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2012-2016","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2012-2016","Black or African American Alone","Number","Per Capita Income",18981
"Andover","0901301080","2012-2016","Black or African American Alone","Number","Margins of Error",8305
"Andover","0901301080","2012-2016","Hispanic or Latino","Number","Per Capita Income",32634
"Andover","0901301080","2012-2016","Hispanic or Latino","Number","Margins of Error",6261
"Andover","0901301080","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2012-2016","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2012-2016","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2012-2016","Two or More Races","Number","Per Capita Income",-9999
"Andover","0901301080","2012-2016","Two or More Races","Number","Margins of Error",-9999
"Andover","0901301080","2012-2016","White Alone","Number","Per Capita Income",41622
"Andover","0901301080","2012-2016","White Alone","Number","Margins of Error",2945
"Andover","0901301080","2012-2016","White Alone Not Hispanic or Latino","Number","Per Capita Income",41668
"Andover","0901301080","2012-2016","White Alone Not Hispanic or Latino","Number","Margins of Error",2979
"Andover","0901301080","2013-2017","All","Number","Per Capita Income",42190
"Andover","0901301080","2013-2017","All","Number","Margins of Error",3652
"Andover","0901301080","2013-2017","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2013-2017","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2013-2017","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2013-2017","Black or African American Alone","Number","Per Capita Income",14449
"Andover","0901301080","2013-2017","Black or African American Alone","Number","Margins of Error",10102
"Andover","0901301080","2013-2017","Hispanic or Latino","Number","Per Capita Income",34004
"Andover","0901301080","2013-2017","Hispanic or Latino","Number","Margins of Error",7178
"Andover","0901301080","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2013-2017","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2013-2017","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2013-2017","Two or More Races","Number","Per Capita Income",44024
"Andover","0901301080","2013-2017","Two or More Races","Number","Margins of Error",36259
"Andover","0901301080","2013-2017","White Alone","Number","Per Capita Income",42090
"Andover","0901301080","2013-2017","White Alone","Number","Margins of Error",3148
"Andover","0901301080","2013-2017","White Alone Not Hispanic or Latino","Number","Per Capita Income",42099
"Andover","0901301080","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",3157
"Andover","0901301080","2014-2018","All","Number","Per Capita Income",41260
"Andover","0901301080","2014-2018","All","Number","Margins of Error",3024
"Andover","0901301080","2014-2018","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2014-2018","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2014-2018","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2014-2018","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2014-2018","Black or African American Alone","Number","Per Capita Income",20687
"Andover","0901301080","2014-2018","Black or African American Alone","Number","Margins of Error",9457
"Andover","0901301080","2014-2018","Hispanic or Latino","Number","Per Capita Income",30200
"Andover","0901301080","2014-2018","Hispanic or Latino","Number","Margins of Error",10399
"Andover","0901301080","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2014-2018","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2014-2018","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2014-2018","Two or More Races","Number","Per Capita Income",-9999
"Andover","0901301080","2014-2018","Two or More Races","Number","Margins of Error",-9999
"Andover","0901301080","2014-2018","White Alone","Number","Per Capita Income",41755
"Andover","0901301080","2014-2018","White Alone","Number","Margins of Error",3191
"Andover","0901301080","2014-2018","White Alone Not Hispanic or Latino","Number","Per Capita Income",42013
"Andover","0901301080","2014-2018","White Alone Not Hispanic or Latino","Number","Margins of Error",3200
"Andover","0901301080","2015-2019","All","Number","Per Capita Income",44592
"Andover","0901301080","2015-2019","All","Number","Margins of Error",3630
"Andover","0901301080","2015-2019","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2015-2019","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2015-2019","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2015-2019","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2015-2019","Black or African American Alone","Number","Per Capita Income",33824
"Andover","0901301080","2015-2019","Black or African American Alone","Number","Margins of Error",20906
"Andover","0901301080","2015-2019","Hispanic or Latino","Number","Per Capita Income",35974
"Andover","0901301080","2015-2019","Hispanic or Latino","Number","Margins of Error",19410
"Andover","0901301080","2015-2019","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2015-2019","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2015-2019","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2015-2019","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2015-2019","Two or More Races","Number","Per Capita Income",-9999
"Andover","0901301080","2015-2019","Two or More Races","Number","Margins of Error",-9999
"Andover","0901301080","2015-2019","White Alone","Number","Per Capita Income",45292
"Andover","0901301080","2015-2019","White Alone","Number","Margins of Error",3712
"Andover","0901301080","2015-2019","White Alone Not Hispanic or Latino","Number","Per Capita Income",45834
"Andover","0901301080","2015-2019","White Alone Not Hispanic or Latino","Number","Margins of Error",3707
"Andover","0901301080","2016-2020","All","Number","Per Capita Income",44803
"Andover","0901301080","2016-2020","All","Number","Margins of Error",5720
"Andover","0901301080","2016-2020","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2016-2020","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2016-2020","Asian Alone","Number","Per Capita Income",25040
"Andover","0901301080","2016-2020","Asian Alone","Number","Margins of Error",16127
"Andover","0901301080","2016-2020","Black or African American Alone","Number","Per Capita Income",30088
"Andover","0901301080","2016-2020","Black or African American Alone","Number","Margins of Error",17239
"Andover","0901301080","2016-2020","Hispanic or Latino","Number","Per Capita Income",37943
"Andover","0901301080","2016-2020","Hispanic or Latino","Number","Margins of Error",30572
"Andover","0901301080","2016-2020","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2016-2020","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2016-2020","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2016-2020","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2016-2020","Two or More Races","Number","Per Capita Income",13964
"Andover","0901301080","2016-2020","Two or More Races","Number","Margins of Error",23895
"Andover","0901301080","2016-2020","White Alone","Number","Per Capita Income",46761
"Andover","0901301080","2016-2020","White Alone","Number","Margins of Error",6042
"Andover","0901301080","2016-2020","White Alone Not Hispanic or Latino","Number","Per Capita Income",47175
"Andover","0901301080","2016-2020","White Alone Not Hispanic or Latino","Number","Margins of Error",6049
"Ansonia","0900901220","2005-2009","All","Number","Per Capita Income",25476
"Ansonia","0900901220","2005-2009","All","Number","Margins of Error",1526
"Ansonia","0900901220","2005-2009","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Ansonia","0900901220","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Ansonia","0900901220","2005-2009","Asian Alone","Number","Per Capita Income",23818
"Ansonia","0900901220","2005-2009","Asian Alone","Number","Margins of Error",10116
"Ansonia","0900901220","2005-2009","Black or African American Alone","Number","Per Capita Income",16026
"Ansonia","0900901220","2005-2009","Black or African American Alone","Number","Margins of Error",3498
"Ansonia","0900901220","2005-2009","Hispanic or Latino","Number","Per Capita Income",19664
"Ansonia","0900901220","2005-2009","Hispanic or Latino","Number","Margins of Error",2787
"Ansonia","0900901220","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Ansonia","0900901220","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Ansonia","0900901220","2005-2009","Some Other Race Alone","Number","Per Capita Income",23975
"Ansonia","0900901220","2005-2009","Some Other Race Alone","Number","Margins of Error",6824
"Ansonia","0900901220","2005-2009","Two or More Races","Number","Per Capita Income",14126
"Ansonia","0900901220","2005-2009","Two or More Races","Number","Margins of Error",4699
"Ansonia","0900901220","2005-2009","White Alone","Number","Per Capita Income",27228
"Ansonia","0900901220","2005-2009","White Alone","Number","Margins of Error",1559
"Ansonia","0900901220","2005-2009","White Alone Not Hispanic or Latino","Number","Per Capita Income",28053
"Ansonia","0900901220","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",1754
"Ansonia","0900901220","2006-2010","All","Number","Per Capita Income",26225
"Ansonia","0900901220","2006-2010","All","Number","Margins of Error",1565
"Ansonia","0900901220","2006-2010","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Ansonia","0900901220","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Ansonia","0900901220","2006-2010","Asian Alone","Number","Per Capita Income",29854
"Ansonia","0900901220","2006-2010","Asian Alone","Number","Margins of Error",13898
"Ansonia","0900901220","2006-2010","Black or African American Alone","Number","Per Capita Income",19323
"Ansonia","0900901220","2006-2010","Black or African American Alone","Number","Margins of Error",3852
"Ansonia","0900901220","2006-2010","Hispanic or Latino","Number","Per Capita Income",19507
"Ansonia","0900901220","2006-2010","Hispanic or Latino","Number","Margins of Error",2921
"Ansonia","0900901220","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Ansonia","0900901220","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Ansonia","0900901220","2006-2010","Some Other Race Alone","Number","Per Capita Income",29123
"Ansonia","0900901220","2006-2010","Some Other Race Alone","Number","Margins of Error",9869
"Ansonia","0900901220","2006-2010","Two or More Races","Number","Per Capita Income",14783
"Ansonia","0900901220","2006-2010","Two or More Races","Number","Margins of Error",5884
"Ansonia","0900901220","2006-2010","White Alone","Number","Per Capita Income",27604
"Ansonia","0900901220","2006-2010","White Alone","Number","Margins of Error",1852
"Ansonia","0900901220","2006-2010","White Alone Not Hispanic or Latino","Number","Per Capita Income",28714
"Ansonia","0900901220","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",1850
"Ansonia","0900901220","2007-2011","All","Number","Per Capita Income",25645
"Ansonia","0900901220","2007-2011","All","Number","Margins of Error",1283
"Ansonia","0900901220","2007-2011","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Ansonia","0900901220","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Ansonia","0900901220","2007-2011","Asian Alone","Number","Per Capita Income",29202
"Ansonia","0900901220","2007-2011","Asian Alone","Number","Margins of Error",12317
"Ansonia","0900901220","2007-2011","Black or African American Alone","Number","Per Capita Income",17114
"Ansonia","0900901220","2007-2011","Black or African American Alone","Number","Margins of Error",4904
"Ansonia","0900901220","2007-2011","Hispanic or Latino","Number","Per Capita Income",17244
"Ansonia","0900901220","2007-2011","Hispanic or Latino","Number","Margins of Error",2888
"Ansonia","0900901220","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Ansonia","0900901220","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Ansonia","0900901220","2007-2011","Some Other Race Alone","Number","Per Capita Income",18092
"Ansonia","0900901220","2007-2011","Some Other Race Alone","Number","Margins of Error",11642
"Ansonia","0900901220","2007-2011","Two or More Races","Number","Per Capita Income",14689
"Ansonia","0900901220","2007-2011","Two or More Races","Number","Margins of Error",7915
"Ansonia","0900901220","2007-2011","White Alone","Number","Per Capita Income",27070
"Ansonia","0900901220","2007-2011","White Alone","Number","Margins of Error",1599
"Ansonia","0900901220","2007-2011","White Alone Not Hispanic or Latino","Number","Per Capita Income",28402
"Ansonia","0900901220","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",1807
"Ansonia","0900901220","2008-2012","All","Number","Per Capita Income",26348
"Ansonia","0900901220","2008-2012","All","Number","Margins of Error",1715
"Ansonia","0900901220","2008-2012","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Ansonia","0900901220","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Ansonia","0900901220","2008-2012","Asian Alone","Number","Per Capita Income",31932
"Ansonia","0900901220","2008-2012","Asian Alone","Number","Margins of Error",16860
"Ansonia","0900901220","2008-2012","Black or African American Alone","Number","Per Capita Income",18939
"Ansonia","0900901220","2008-2012","Black or African American Alone","Number","Margins of Error",7760
"Ansonia","0900901220","2008-2012","Hispanic or Latino","Number","Per Capita Income",19131
"Ansonia","0900901220","2008-2012","Hispanic or Latino","Number","Margins of Error",3471
"Ansonia","0900901220","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Ansonia","0900901220","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Ansonia","0900901220","2008-2012","Some Other Race Alone","Number","Per Capita Income",21665
"Ansonia","0900901220","2008-2012","Some Other Race Alone","Number","Margins of Error",7474
"Ansonia","0900901220","2008-2012","Two or More Races","Number","Per Capita Income",15495
"Ansonia","0900901220","2008-2012","Two or More Races","Number","Margins of Error",11179
"Ansonia","0900901220","2008-2012","White Alone","Number","Per Capita Income",27597
"Ansonia","0900901220","2008-2012","White Alone","Number","Margins of Error",1904
"Ansonia","0900901220","2008-2012","White Alone Not Hispanic or Latino","Number","Per Capita Income",29476
"Ansonia","0900901220","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",2188
"Ansonia","0900901220","2009-2013","All","Number","Per Capita Income",25374
"Ansonia","0900901220","2009-2013","All","Number","Margins of Error",1738
"Ansonia","0900901220","2009-2013","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Ansonia","0900901220","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Ansonia","0900901220","2009-2013","Asian Alone","Number","Per Capita Income",34803
"Ansonia","0900901220","2009-2013","Asian Alone","Number","Margins of Error",11711
"Ansonia","0900901220","2009-2013","Black or African American Alone","Number","Per Capita Income",14426
"Ansonia","0900901220","2009-2013","Black or African American Alone","Number","Margins of Error",7227
"Ansonia","0900901220","2009-2013","Hispanic or Latino","Number","Per Capita Income",16808
"Ansonia","0900901220","2009-2013","Hispanic or Latino","Number","Margins of Error",3670
"Ansonia","0900901220","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Ansonia","0900901220","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Ansonia","0900901220","2009-2013","Some Other Race Alone","Number","Per Capita Income",21881
"Ansonia","0900901220","2009-2013","Some Other Race Alone","Number","Margins of Error",6916
"Ansonia","0900901220","2009-2013","Two or More Races","Number","Per Capita Income",8977
"Ansonia","0900901220","2009-2013","Two or More Races","Number","Margins of Error",8993
"Ansonia","0900901220","2009-2013","White Alone","Number","Per Capita Income",27168
"Ansonia","0900901220","2009-2013","White Alone","Number","Margins of Error",2118
"Ansonia","0900901220","2009-2013","White Alone Not Hispanic or Latino","Number","Per Capita Income",29584
"Ansonia","0900901220","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",2146
"Ansonia","0900901220","2010-2014","All","Number","Per Capita Income",24804
"Ansonia","0900901220","2010-2014","All","Number","Margins of Error",1708
"Ansonia","0900901220","2010-2014","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
